,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
231,V291,478,853,682,606,632,650.2
232,V292,240,383,290,188,296,279.4
233,V294,603,789,671,792,692,709.4
234,V303,39,62,49,77,53,56.0
235,V304,28,57,37,170,58,70.0
236,V306,1016,1762,1228,1483,1334,1364.6
237,V307,2889,4898,3565,4099,4224,3935.0
238,V308,1553,2391,1855,2066,2286,2030.2
239,V310,2558,4162,3176,3427,3332,3331.0
240,V312,1162,2025,1607,1668,1691,1630.6
241,V313,1628,2318,1784,1892,2118,1948.0
242,V314,1509,2621,1824,1932,1925,1962.2
243,V315,1728,2424,1659,2053,1991,1971.0
244,V317,1293,2160,1643,1607,1642,1669.0
245,V322,39,66,58,67,64,58.8
246,V323,101,229,195,199,165,177.8
247,V324,73,158,128,92,105,111.2
248,V326,53,110,59,44,36,60.4
249,V329,37,33,74,37,33,42.8
250,V331,170,173,150,180,176,169.8
251,V332,235,433,332,385,397,356.4
252,V333,159,284,181,215,215,210.8
253,V335,77,99,96,71,58,80.2
254,V336,31,32,54,30,48,39.0
255,V338,109,120,177,129,117,130.4
256,id_01,953,1665,1318,1316,1391,1328.6
257,id_02,2003,3833,2998,3242,3320,3079.2
258,id_03,358,495,527,450,528,471.6
259,id_05,1354,2301,1787,2044,1939,1885.0
260,id_06,1608,3358,2513,2267,2679,2485.0
261,id_09,327,375,361,463,491,403.4
262,id_11,60,273,154,127,147,152.2
263,id_12,25,15,25,42,20,25.4
264,id_13,1470,3177,2150,2309,2259,2273.0
265,id_14,479,1076,763,759,768,769.0
266,id_15,133,164,124,200,202,164.6
267,id_17,112,280,374,210,219,239.0
268,id_19,2551,5255,3832,3878,4142,3931.6
269,id_20,2967,5937,4414,4812,4738,4573.6
270,id_30,668,1062,932,1108,992,952.4
271,id_31,1797,3418,2647,2825,2465,2630.4
272,id_32,81,207,255,262,181,197.2
273,id_33,515,900,772,878,866,786.2
274,id_36,16,20,10,14,16,15.2
275,id_37,70,82,70,99,80,80.2
276,id_38,219,617,753,747,576,582.4
277,DeviceType,183,271,231,364,279,265.6
278,DeviceInfo,886,1791,1511,1556,1516,1452.0
279,device_name,561,1001,910,837,877,837.2
280,device_version,953,1273,1138,896,1449,1141.8
281,OS_id_30,51,155,115,133,149,120.6
282,version_id_30,590,958,747,986,1029,862.0
283,browser_id_31,292,467,433,486,467,429.0
284,version_id_31,1457,2851,2143,2485,2234,2234.0
285,screen_width,227,533,415,477,491,428.6
286,screen_height,501,1181,1079,1110,1167,1007.6
287,had_id,2,1,0,1,1,1.0
288,TransactionAmt_to_mean_card1,10480,18369,13304,14893,15883,14585.8
289,TransactionAmt_to_std_card1,12671,23619,16476,18137,19236,18027.8
290,TransactionAmt_to_mean_card4,6828,12298,8595,9734,9754,9441.8
291,TransactionAmt_to_std_card4,7272,12560,9018,10109,10626,9917.0
292,TransactionAmt_to_mean_addr1,9236,16571,11364,13147,13698,12803.2
293,TransactionAmt_to_std_addr1,9781,16445,11472,13617,13883,13039.6
294,id_02_to_mean_card1,2341,4815,3694,4030,4209,3817.8
295,id_02_to_std_card1,2401,5088,3894,4105,4347,3967.0
296,id_02_to_mean_card4,2099,4025,3076,3457,3475,3226.4
297,id_02_to_std_card4,1655,3480,2601,2836,2857,2685.8
298,id_02_to_mean_addr1,609,1522,1263,1456,1491,1268.2
299,id_02_to_std_addr1,631,1671,1347,1415,1487,1310.2
300,D15_to_mean_card1,6516,10265,7779,8403,8204,8233.4
301,D15_to_std_card1,5390,9601,6607,7335,7485,7283.6
302,D15_to_mean_card4,4491,7506,5310,6062,6199,5913.6
303,D15_to_std_card4,3275,5340,3953,4471,4465,4300.8
304,D15_to_mean_addr1,4701,7782,6162,6362,6501,6301.6
305,D15_to_std_addr1,3948,6399,4914,5497,5722,5296.0
306,TransactionAmt_Log,3679,6490,4537,5089,5347,5028.4
307,TransactionAmt_decimal,4715,9090,6256,6501,7120,6736.4
308,Transaction_day_of_week,4742,9528,6587,7377,7862,7219.2
309,Transaction_hour,7348,13955,9631,10807,11117,10571.6
310,id_02__id_20,1787,3703,2902,3039,3101,2906.4
311,id_02__D8,959,2160,1670,1852,1821,1692.4
312,D11__DeviceInfo,3923,7037,4718,5006,5033,5143.4
313,DeviceInfo__P_emaildomain,3518,6848,4796,5407,5669,5247.6
314,P_emaildomain__C2,7706,12893,8950,9922,10324,9959.0
315,card2__dist1,9326,16062,11363,12742,13493,12597.2
316,card1__card5,14513,23947,17422,19026,20093,19000.2
317,card2__id_20,6316,11882,8388,8963,9460,9001.8
318,card5__P_emaildomain,8385,13930,10545,11537,11769,11233.2
319,addr1__card1,14042,24201,18738,19747,21223,19590.2
320,card1_count_full,15841,27152,20005,21851,23204,21610.6
321,card2_count_full,11470,18994,13729,14432,15917,14908.4
322,card3_count_full,542,908,715,673,876,742.8
323,card4_count_full,533,868,552,726,702,676.2
324,card5_count_full,2852,4190,3360,3533,3756,3538.2
325,card6_count_full,808,1262,832,1038,1163,1020.6
326,id_36_count_full,0,45,54,85,41,45.0
327,id_01_count_dist,847,1430,1136,1306,1204,1184.6
328,id_31_count_dist,2110,3924,3348,3369,3178,3185.8
329,id_33_count_dist,474,1306,1080,1131,1108,1019.8
330,id_36_count_dist,0,25,44,60,28,31.4
331,P_emaildomain_bin,3302,5229,3927,4347,4543,4269.6
332,P_emaildomain_suffix,506,799,621,516,675,623.4
333,R_emaildomain_bin,981,1501,1443,1539,1538,1400.4
334,R_emaildomain_suffix,116,218,288,225,228,215.0
