,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
194,V243,508,334,253,208,186,297.8
195,V244,320,165,126,122,104,167.4
196,V245,685,401,304,328,248,393.2
197,V246,257,139,106,105,69,135.2
198,V247,77,66,46,30,36,51.0
199,V249,153,118,80,58,41,90.0
200,V251,531,405,223,245,262,333.2
201,V253,253,158,126,144,103,156.8
202,V256,483,242,274,295,226,304.0
203,V257,733,371,229,221,195,349.8
204,V258,741,494,437,479,414,513.0
205,V259,772,532,338,336,225,440.6
206,V261,1398,732,494,509,512,729.0
207,V262,895,364,300,298,245,420.4
208,V263,1119,517,339,467,292,546.8
209,V264,2475,1306,728,907,611,1205.4
210,V265,1393,705,427,563,375,692.6
211,V266,789,536,454,388,454,524.2
212,V267,1459,903,612,612,517,820.6
213,V268,899,618,463,436,271,537.4
214,V270,872,510,367,478,278,501.0
215,V271,949,671,445,580,447,618.4
216,V272,737,460,318,400,270,437.0
217,V273,626,303,239,269,188,325.0
218,V274,1339,791,551,612,439,746.4
219,V275,749,414,240,359,256,403.6
220,V276,827,415,250,345,243,416.0
221,V277,1521,842,486,615,363,765.4
222,V278,1031,588,324,532,273,549.6
223,V279,714,534,372,422,338,476.0
224,V280,935,528,334,476,328,520.2
225,V282,2782,1652,1248,1286,1188,1631.2
226,V283,3140,1811,1236,1491,1315,1798.6
227,V285,2065,1472,1198,1244,1063,1408.4
228,V287,441,254,182,196,154,245.4
229,V288,622,299,210,227,274,326.4
230,V289,659,454,394,301,326,426.8
231,V291,1684,1123,748,900,597,1010.4
232,V292,726,434,297,362,267,417.2
233,V294,1334,1007,750,1021,718,966.0
234,V303,221,120,69,98,66,114.8
235,V304,116,75,22,65,30,61.6
236,V306,2407,1359,698,881,737,1216.4
237,V307,6464,3938,2499,3233,2579,3742.6
238,V308,3536,1795,1148,1533,1215,1845.4
239,V310,6348,4070,2658,3301,2559,3787.2
240,V312,3529,2131,1330,1761,1301,2010.4
241,V313,7548,4150,2903,3436,2711,4149.6
242,V314,5351,3024,2066,2226,1829,2899.2
243,V315,6027,3339,2240,2696,2096,3279.6
244,V317,3513,1877,1301,1566,1174,1886.2
245,V322,70,75,54,57,51,61.4
246,V323,350,219,246,267,195,255.4
247,V324,194,110,106,114,112,127.2
248,V326,193,146,138,124,93,138.8
249,V329,179,79,87,78,63,97.2
250,V331,226,161,129,153,113,156.4
251,V332,496,338,264,321,203,324.4
252,V333,275,199,160,152,141,185.4
253,V335,333,237,206,213,165,230.8
254,V336,185,104,91,103,89,114.4
255,V338,346,250,193,233,111,226.6
256,id_01,4170,2486,1656,2011,1491,2362.8
257,id_02,7119,3653,2167,2808,1776,3504.6
258,id_03,1337,647,590,600,509,736.6
259,id_05,5875,3389,2408,2581,1931,3236.8
260,id_06,7626,3996,2773,2913,2226,3906.8
261,id_09,923,709,550,632,576,678.0
262,id_11,645,375,234,356,207,363.4
263,id_12,75,32,20,35,14,35.2
264,id_13,8201,4692,3000,3672,2211,4355.2
265,id_14,2187,1513,1028,1209,913,1370.0
266,id_15,504,269,199,191,186,269.8
267,id_17,883,519,523,530,447,580.4
268,id_19,12590,7578,4568,5285,3587,6721.6
269,id_20,14958,8818,5921,6825,4766,8257.6
270,id_30,2498,1611,1175,1493,1160,1587.4
271,id_31,8879,5057,3127,3814,2471,4669.6
272,id_32,356,250,253,291,237,277.4
273,id_33,2448,1597,1271,1611,1048,1595.0
274,id_36,44,16,11,26,27,24.8
275,id_37,356,266,174,213,186,239.0
276,id_38,890,795,1005,944,744,875.6
277,DeviceType,871,526,335,517,386,527.0
278,DeviceInfo,6107,3180,2077,2506,1633,3100.6
279,device_name,3140,1662,1243,1410,1011,1693.2
280,device_version,4795,2607,1773,1969,1458,2520.4
281,OS_id_30,323,246,226,262,237,258.8
282,version_id_30,2221,1309,959,1237,783,1301.8
283,browser_id_31,1317,739,539,640,471,741.2
284,version_id_31,6793,4205,2722,3164,2215,3819.8
285,screen_width,1352,828,617,874,588,851.8
286,screen_height,2569,1704,1409,1640,1146,1693.6
287,had_id,2,0,0,0,0,0.4
288,TransactionAmt_to_mean_card1,39978,18947,11304,14460,9524,18842.6
289,TransactionAmt_to_std_card1,46667,22104,13429,17079,11421,22140.0
290,TransactionAmt_to_mean_card4,27242,13988,8688,10847,7487,13650.4
291,TransactionAmt_to_std_card4,28556,13470,8415,11443,7132,13803.2
292,TransactionAmt_to_mean_addr1,32066,15899,9711,12892,8587,15831.0
293,TransactionAmt_to_std_addr1,31814,15891,9567,12414,8919,15721.0
294,id_02_to_mean_card1,9215,4285,2795,3411,2007,4342.6
295,id_02_to_std_card1,9512,4806,2861,3724,2347,4650.0
296,id_02_to_mean_card4,7923,3900,2502,3064,2046,3887.0
297,id_02_to_std_card4,6720,3214,2082,2429,1724,3233.8
298,id_02_to_mean_addr1,2643,1720,1318,1496,1044,1644.2
299,id_02_to_std_addr1,2540,1886,1312,1638,1028,1680.8
300,D15_to_mean_card1,17772,10758,7193,8668,6521,10182.4
301,D15_to_std_card1,15417,8784,6172,7383,5563,8663.8
302,D15_to_mean_card4,13486,7755,5455,6236,5177,7621.8
303,D15_to_std_card4,9959,5926,4087,4986,3785,5748.6
304,D15_to_mean_addr1,12931,7281,5828,6367,4885,7458.4
305,D15_to_std_addr1,10693,6325,4741,5399,4391,6309.8
306,TransactionAmt_Log,16167,8119,4997,5918,4438,7927.8
307,TransactionAmt_decimal,20686,10181,5685,7411,4740,9740.6
308,Transaction_day_of_week,20141,9338,4927,6767,4236,9081.8
309,Transaction_hour,29022,12805,7560,9512,6115,13002.8
310,id_02__id_20,7338,3462,1908,2509,1419,3327.2
311,id_02__D8,4480,2130,1195,1476,897,2035.6
312,D11__DeviceInfo,9601,5387,3355,4017,2817,5035.4
313,DeviceInfo__P_emaildomain,16215,7870,5584,6413,4904,8197.2
314,P_emaildomain__C2,24935,14187,9273,11138,8329,13572.4
315,card2__dist1,32127,16707,11543,13619,10560,16911.2
316,card1__card5,47383,26346,17426,20767,15299,25444.2
317,card2__id_20,22968,12225,7997,9502,7007,11939.8
318,card5__P_emaildomain,29837,15445,10050,12081,9123,15307.2
319,addr1__card1,53569,28253,19424,22997,17415,28331.6
320,card1_count_full,52770,27602,18759,22560,17438,27825.8
321,card2_count_full,36600,19946,13905,16189,12311,19790.2
322,card3_count_full,1610,1066,858,955,875,1072.8
323,card4_count_full,1961,1321,901,1087,917,1237.4
324,card5_count_full,10723,5845,3973,4690,3358,5717.8
325,card6_count_full,1574,1007,837,933,817,1033.6
326,id_36_count_full,88,71,36,63,42,60.0
327,id_01_count_dist,3403,1874,1154,1498,1076,1801.0
328,id_31_count_dist,9503,5444,3809,4499,3057,5262.4
329,id_33_count_dist,2747,1793,1385,1657,1241,1764.6
330,id_36_count_dist,73,55,19,49,37,46.6
331,P_emaildomain_bin,11022,6050,3731,4612,3395,5762.0
332,P_emaildomain_suffix,1876,1177,747,937,785,1104.4
333,R_emaildomain_bin,3876,2144,1724,2167,1674,2317.0
334,R_emaildomain_suffix,474,328,295,289,234,324.0
