,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
292,TransactionAmt_to_mean_addr1,34253,12887,8852,11855,8929,15355.2
293,TransactionAmt_to_std_addr1,34166,12309,8769,11298,9068,15122.0
294,id_02_to_mean_card1,10038,3234,2466,3109,2110,4191.4
295,id_02_to_std_card1,10272,3748,2613,3385,2461,4495.8
296,id_02_to_mean_card4,8342,3006,2226,2801,1953,3665.6
297,id_02_to_std_card4,7347,2491,1979,2263,1706,3157.2
298,id_02_to_mean_addr1,2870,1340,1198,1367,1091,1573.2
299,id_02_to_std_addr1,2752,1482,1181,1475,1094,1596.8
300,D15_to_mean_card1,18574,9080,6658,8076,6559,9789.4
301,D15_to_std_card1,16759,7630,5960,7042,5807,8639.6
302,D15_to_mean_card4,14193,6721,5315,5911,4985,7425.0
303,D15_to_std_card4,10716,5097,3762,4693,3901,5633.8
304,D15_to_mean_addr1,13574,6377,5469,6181,4949,7310.0
305,D15_to_std_addr1,11300,5364,4346,5219,4481,6142.0
306,TransactionAmt_Log,17089,6180,4576,5429,4355,7525.8
307,TransactionAmt_decimal,22071,7574,5085,6376,4775,9176.2
308,Transaction_day_of_week,21635,7005,4317,5916,4325,8639.6
309,Transaction_hour,31185,9019,5943,8145,5558,11970.0
310,id_02__id_20,8072,2540,1780,2209,1376,3195.4
311,id_02__D8,4847,1635,1076,1385,894,1967.4
312,D11__DeviceInfo,10264,4524,3086,3804,2755,4886.6
313,DeviceInfo__P_emaildomain,16960,6396,4995,6036,4930,7863.4
314,P_emaildomain__C2,26588,11714,8533,10541,8365,13148.2
315,card2__dist1,33817,13890,10637,12793,10600,16347.4
316,card1__card5,50793,21403,16087,19435,15646,24672.8
317,card2__id_20,24324,9870,7498,8908,7103,11540.6
318,card5__P_emaildomain,31673,12651,9478,11191,9063,14811.2
319,addr1__card1,57431,23179,17929,21696,17678,27582.6
320,card1_count_full,56425,23128,17514,21128,17631,27165.2
321,card2_count_full,38740,16544,12778,15512,12506,19216.0
322,card3_count_full,1774,1004,859,927,871,1087.0
323,card4_count_full,2067,1126,879,1077,924,1214.6
324,card5_count_full,11496,4931,3640,4320,3515,5580.4
325,card6_count_full,1582,947,848,906,817,1020.0
326,id_36_count_full,98,61,34,73,49,63.0
327,id_01_count_dist,3638,1562,1071,1408,1086,1753.0
328,id_31_count_dist,10000,4544,3501,4148,3069,5052.4
329,id_33_count_dist,3054,1525,1244,1588,1227,1727.6
330,id_36_count_dist,57,40,20,35,32,36.8
331,P_emaildomain_bin,11815,4979,3533,4210,3517,5610.8
332,P_emaildomain_suffix,1917,1063,707,904,763,1070.8
333,R_emaildomain_bin,4109,1803,1673,1970,1682,2247.4
334,R_emaildomain_suffix,503,258,254,278,241,306.8
